agency;year;month;resolvedYTD
DCWP;2020;4;1
DCWP;2023;1;1
DEP;2010;6;1
DEP;2011;3;1
DEP;2011;4;2
DEP;2011;5;3
DEP;2012;6;1
DEP;2013;7;1
DEP;2017;6;1
DEP;2018;9;1
DEP;2019;6;1
DEP;2019;10;2
DEP;2021;2;1
DOB;2010;5;1
DOB;2012;3;1
DOB;2013;2;1
DOB;2014;5;1
DOB;2017;2;1
DOB;2019;4;1
DOB;2021;4;1
DOB;2024;5;1
DOE;2023;7;1
DOT;2010;5;1
DOT;2011;8;1
DOT;2012;7;1
DOT;2013;3;1
DOT;2018;6;1
DOT;2018;8;2
DOT;2019;8;1
DOT;2022;2;1
DPR;2010;10;1
DPR;2017;8;1
DSNY;2015;4;1
DSNY;2019;7;1
DSNY;2020;8;2
DSNY;2021;8;1
DSNY;2023;7;1
DSNY;2024;8;1
HPD;2011;10;1
HPD;2011;11;2
HPD;2012;1;1
HPD;2012;9;2
HPD;2013;1;1
HPD;2013;7;2
HPD;2013;12;3
HPD;2014;5;1
HPD;2015;7;2
HPD;2016;7;1
HPD;2016;8;2
HPD;2016;10;4
HPD;2017;3;1
HPD;2017;5;2
HPD;2017;11;3
HPD;2018;6;1
HPD;2018;10;2
HPD;2019;11;1
HPD;2021;2;1
HPD;2022;3;1
HPD;2022;5;2
HPD;2022;9;3
HPD;2024;11;1
NYPD;2010;3;1
NYPD;2011;7;1
NYPD;2012;10;1
NYPD;2013;4;1
NYPD;2013;5;2
NYPD;2013;6;3
NYPD;2015;1;2
NYPD;2015;2;3
NYPD;2016;2;1
NYPD;2016;4;2
NYPD;2017;8;1
NYPD;2017;10;2
NYPD;2018;9;1
NYPD;2019;7;1
NYPD;2019;10;2
NYPD;2020;5;1
NYPD;2020;6;2
NYPD;2021;4;2
NYPD;2021;7;3
NYPD;2022;5;1
NYPD;2023;6;3
NYPD;2023;8;5
NYPD;2024;6;2
NYPD;2024;9;3
NYPD;2024;12;4
TLC;2024;3;1
