neighborhood;quadLat;quadLon;request
BRONX;407;-740;105
BRONX;407;-739;10
BRONX;408;-740;75820
BRONX;408;-739;125133
BRONX;408;-738;800
BRONX;409;-740;765
BRONX;409;-739;2458
BROOKLYN;405;-741;1234
BROOKLYN;405;-740;20920
BROOKLYN;405;-739;17
BROOKLYN;406;-741;30469
BROOKLYN;406;-740;203267
BROOKLYN;406;-739;26719
BROOKLYN;407;-740;31163
MANHATTAN;406;-741;2
MANHATTAN;407;-741;17734
MANHATTAN;407;-740;103484
MANHATTAN;408;-740;78507
QUEENS;405;-740;86
QUEENS;405;-739;3891
QUEENS;405;-738;4162
QUEENS;406;-740;1226
QUEENS;406;-739;36321
QUEENS;406;-738;24696
QUEENS;407;-740;41135
QUEENS;407;-739;89852
QUEENS;407;-738;33601
STATEN ISLAND;404;-743;33
STATEN ISLAND;405;-743;4167
STATEN ISLAND;405;-742;15581
STATEN ISLAND;405;-741;3472
STATEN ISLAND;406;-742;13539
STATEN ISLAND;406;-741;9631
