type;agency;requests
AGENCY;HPD;1
AHV Inspection Unit;DOB;27
APPLIANCE;HPD;5911
ATF;DEP;5
Abandoned Bike;DSNY;213
Abandoned Vehicle;NYC311-PRD;49
Abandoned Vehicle;NYPD;9497
Adopt-A-Basket;DSNY;77
Advocate - Levy;DOF;1
Advocate-Commercial Exemptions;DOF;1
Air Quality;DEP;3389
Animal Abuse;NYPD;1384
Animal Facility - No Permit;DOHMH;40
Animal in a Park;DPR;739
Animal-Abuse;NYC311-PRD;10
Animal-Abuse;NYPD;1290
Appliance;HPD;23
Asbestos;DEP;557
Asbestos;DOHMH;216
BEST/Site Safety;DOB;722
Beach/Pool/Sauna Complaint;DOHMH;78
Bench;DOT;2
Bike Rack;DOT;7
Bike Rack Condition;DOT;55
Bike/Roller/Skate Chronic;NYPD;517
Blocked Driveway;NYC311-PRD;98
Blocked Driveway;NYPD;51717
Boilers;DOB;992
Borough Office;DOB;231
Bottled Water;DOHMH;7
Broken Muni Meter;DOT;2725
Broken Parking Meter;DOT;1665
Building Condition;DOT;3
Building Drinking Water Tank;DOHMH;6
Building Marshals office;DOB;225
Building/Use;DOB;11172
Bus Stop Shelter Complaint;DOT;265
Bus Stop Shelter Placement;DOT;70
CONSTRUCTION;HPD;126
COVID-19 Non-essential Construction;DOB;237
Calorie Labeling;DOHMH;7
City Vehicle Placard Complaint;3-1-1;60
Collection Truck Noise;DSNY;37
Commercial Disposal Complaint;DSNY;281
Construction;DOB;834
Construction Lead Dust;DOHMH;155
Construction Safety Enforcement;DOB;948
Consumer Complaint;DCWP;8029
Cooling Tower;DOHMH;4
Cranes and Derricks;DOB;92
Curb Condition;DOT;2188
DEP Sidewalk Condition;DOT;2
DEP Street Condition;DOT;30
DOB Posted Notice or Order;DOB;1
DOF Property - Payment Issue;DOF;344
DOOR/WINDOW;HPD;12523
DPR Internal;DPR;44
DRIE;DOF;123
Damaged Tree;DPR;13581
Day Care;DOHMH;287
Dead Animal;DSNY;1015
Dead Tree;DPR;1615
Dead/Dying Tree;DPR;2834
Dept of Investigations;DOB;5
Derelict Bicycle;DSNY;446
Derelict Vehicle;NYPD;5381
Derelict Vehicles;DSNY;11759
Dirty Condition;DSNY;4978
Dirty Conditions;DSNY;10032
Discipline and Suspension;DOE;11
Disorderly Youth;NYC311-PRD;1
Disorderly Youth;NYPD;139
Dispatched Taxi Compliment;TLC;1
Door/Window;HPD;29
Drinking;NYC311-PRD;2
Drinking;NYPD;848
Drinking Water;DOHMH;83
Drug Activity;NYC311-PRD;22
Drug Activity;NYPD;1986
Dumpster Complaint;DSNY;175
E-Scooter;DOT;45
ELECTRIC;HPD;11965
ELEVATOR;HPD;437
Electric;HPD;13
Electrical;DOB;1386
Electronics Waste;DSNY;847
Electronics Waste Appointment;DSNY;2745
Elevator;DOB;5939
Emergency Response Team (ERT);DOB;1727
Encampment;DHS;1031
Encampment;NYC311-PRD;9
Encampment;NYPD;2728
Executive Inspections;DOB;45
FATF;DEP;8
FCST;DEP;12
FLOORING/STAIRS;HPD;7858
Facades;DOB;70
Face Covering Violation;DOHMH;57
Ferry Inquiry;DOT;2
Fire Alarm - Reinspection;FDNY;2
Flooring/Stairs;HPD;28
Foam Ban Enforcement;DSNY;3
Food Establishment;DOHMH;4179
Food Poisoning;DOHMH;1170
For Hire Vehicle Complaint;TLC;3548
For Hire Vehicle Report;TLC;111
Forensic Engineering;DOB;39
Found Property;TLC;80
GENERAL;HPD;9092
GENERAL CONSTRUCTION;HPD;10848
General;HPD;59
General Construction/Plumbing;DOB;15913
Graffiti;DSNY;6979
Graffiti;NYC311-PRD;1
Graffiti;NYPD;429
Green Taxi Complaint;TLC;33
Green Taxi Report;TLC;3
HEAT/HOT WATER;HPD;74459
HEATING;HPD;18448
Harboring Bees/Wasps;DOHMH;111
Hazardous Material;DEP;1
Hazardous Materials;DEP;889
Health;DOE;6
Heat/Hot Water;HPD;69
Highway Condition;DOT;7
Homeless Encampment;NYPD;851
Homeless Person Assistance;DHS;7329
Homeless Street Condition;NYPD;494
Illegal Animal Kept as Pet;DOHMH;165
Illegal Animal Sold;DOHMH;30
Illegal Dumping;DSNY;3353
