Created Date;Agency Name;Complaint Type Code;Status;Borough;Latitude;Longitude
2017-08-27 15:39:08;NYPD;BD248016;Closed;QUEENS;40.69037308751786;-73.79115147251368
2020-08-25 23:37:00;DSNY;RLBIC035;Closed;BROOKLYN;40.72842541570854;-73.95342445012648
2024-08-25 15:55:00;DSNY;DV186017;Closed;STATEN ISLAND;40.619733087886765;-74.09112272315363
2024-12-04 22:19:53;NYPD;IP198015;Closed;BROOKLYN;40.69520428392374;-73.97619552234463
2015-04-16 16:44:00;DSNY;DC811016;Closed;QUEENS;40.684456847110894;-73.84404640829182
2013-03-25 10:51:15;DOT;SC822016;Closed;QUEENS;40.72040585941721;-73.78490285149613
2021-02-05 09:30:00;DEP;L6319004;Closed;BROOKLYN;40.70742887810631;-73.92411539070756
2010-06-22 19:05:00;DEP;WS977012;Closed;QUEENS;40.60112124966527;-73.75656098013545
2011-04-08 07:27:00;DEP;WS977012;Closed;BROOKLYN;40.63992666871114;-74.00779373291516
2023-08-24 04:33:41;NYPD;IP198015;Closed;BROOKLYN;40.66464183415976;-73.95180368925948
2015-01-13 19:58:59;NYPD;BD248016;Closed;BRONX;40.883835739635316;-73.83698234279228
2012-10-12 11:16:28;NYPD;IP198015;Closed;BROOKLYN;40.66450866597649;-73.98889443348718
2011-03-09 19:54:00;DEP;WS977012;Closed;QUEENS;40.74071590779859;-73.86548729741477
2019-10-15 23:32:00;DEP;N1637005;Closed;MANHATTAN;40.75570338323786;-73.97244532183602
2013-01-25 00:00:00;HPD;HEATI007;Closed;STATEN ISLAND;40.62921195724563;-74.16038182702874
2013-12-06 00:00:00;HPD;HEATI007;Closed;MANHATTAN;40.76198789825576;-73.95986975817928
2024-03-07 19:52:23;TLC;FHVC1026;Closed;MANHATTAN;40.80231302510549;-73.94527104402134
2023-08-20 14:24:33;NYPD;BD248016;Closed;MANHATTAN;40.7142192742972;-74.01024811596699
2012-09-20 00:00:00;HPD;GENER020;Closed;BRONX;40.84417324510356;-73.89166951222118
2017-10-26 21:35:48;NYPD;IP198015;Closed;QUEENS;40.769251662162695;-73.91614582168452
2019-08-14 10:10:25;DOT;SC142018;Closed;BROOKLYN;40.676612435206174;-73.8980741220789
2010-03-18 07:20:02;NYPD;BD248016;Closed;BRONX;40.87532931533182;-73.88147958573555
2022-05-11 12:41:12;HPD;UNSAN020;Closed;BRONX;40.8478283417294;-73.91339736186002
2016-07-15 12:55:35;HPD;ELECT008;Closed;BROOKLYN;40.69571167070106;-73.9949152297333
2014-05-18 00:00:00;HPD;PLUMB008;Closed;BRONX;40.83932469358512;-73.90240739503413
2018-06-28 10:24:38;HPD;UNSAN020;Closed;QUEENS;40.60216223687154;-73.74548355074843
2013-06-01 23:41:37;NYPD;NR197019;Closed;QUEENS;40.69125879744846;-73.80312418731123
2017-11-10 18:41:00;HPD;HEATH014;Closed;BRONX;40.82295709903019;-73.91901922319732
2022-02-02 14:00:57;DOT;SC822016;Closed;MANHATTAN;40.7808885194956;-73.9837079210011
2011-05-30 19:49:00;DEP;WS977012;Closed;BRONX;40.870873681190695;-73.89163686044854
2012-04-27 09:35:00;DPR;OTB17023;Open;BRONX;40.84500159274805;-73.85169381617054
2016-10-03 05:13:40;HPD;HEATH014;Closed;QUEENS;40.76267763032604;-73.81821164381647
2015-01-10 02:25:36;NYPD;NR197019;Closed;BRONX;40.85046533985372;-73.90896964351693
2013-07-20 00:00:00;HPD;PLUMB008;Closed;BRONX;40.83070909959236;-73.84898660890173
2013-07-29 23:28:00;DEP;S1723005;Closed;QUEENS;40.74165349266677;-73.90582717153806
2023-06-18 23:51:47;NYPD;NSS51023;Closed;BROOKLYN;40.63912053496037;-74.03363911843232
2024-11-12 03:24:40;HPD;UNSAN020;Closed;BRONX;40.86319142610064;-73.86568425600332
2017-06-11 01:42:00;DEP;WC165018;Closed;STATEN ISLAND;40.54276528741561;-74.20466330565051
